School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Colgate University,Northeast (Mid-Atlantic),,Rural: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,15000,70306,17610,91916,Need,130,0.5,73422,14392,Yes (Need-aware),,,,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
College of Charleston,Southeast (Deep South),,City: Midsize,Coeducational,No,Balanced,Very High,On-campus,1-Historically,50000,38296,14332,56628,Merit,49,0.56,8658,46232,No,,,,,TBD,Unclear,Both,,early_admission
College Of Saint Mary,Midwest (Great Plains),,City: Large,Women's,No,Professional,Majority,On-campus,3-Somewhat,20000,24510,9084,37594,Merit,11,1,18326,17664,No,,,,,,Unclear,,,affordable
College of St. Benedict,Midwest (Great Plains),,Suburb: Midsize,Women's,No,Arts and Sciences,Exclusively,On-campus,3-Somewhat,30000,55756,12550,72306,Both,43,0.98,41743,28301,No,,,,,TBD,Unclear,Early Action Only,,early_admission; affordable
College of St. Scholastica,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,30000,41778,11830,57608,Need,73,1,30518,25316,,,,,,,Unclear,,,affordable
College of the Atlantic,Northeast (New England),,Rural: Remote,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,15000,47997,10404,62401,Limited,88,1,50199,10081,No,Demonstrated Need,,,,,Requires nomination,Both,,early_admission; generous_aid; affordable
College of the Holy Cross,Northeast (New England),"Boston, MA",City: Midsize,Coeducational,No,Arts and Sciences,Exclusively,On-campus,3-Somewhat,5000,64500,18820,87320,Need,41,0.47,81875,725,Yes (Need-aware),,-,-,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
William & Mary,Southeast,,Suburb: Small,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,,50752,16182,70934,Merit,,,,,No,40000,Monroe Scholars Program,A select group of about 100 freshmen are invited to the program. Selection is based on the admission application. Scholars receive a research grant and special advising. No separate application required.,10752,30934,Automatic consideration,Early Decision only,Yes,early_admission
Colorado College,West (Rocky Mountains),,City: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,30000,70734,16020,90754,Need,61,0.57,60736,25572,Yes (Need-aware),,,,,,Unclear,Early Action Only,Yes,early_admission; generous_aid; affordable
Colorado School of Mines,West (Rocky Mountains),,Suburb: Large,Coeducational,No,Professional,High,On-campus,0-None,45000,44376,16820,65196,Merit,28,0.18,23037,42159,No,8000,Merit-based scholarship,All applicants are automatically considered for merit awards (President's and Provost's Scholarships) based on the admission application. Other competitive scholarships like the Harvey Scholarship require the General Scholarship Application.,36376,57196,Automatic consideration,Both,,early_admission
Colorado State University-Fort Collins,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,40000,34751,16817,55568,Merit,256,0.44,13909,39462,No,12000,Undergraduate international scholarship,International students are automatically considered for merit-based awards like the Green and Gold Scholarship based on their application for admission; no separate application is needed.,22751,43568,Automatic consideration,Early Action Only,,early_admission
Colorado State University-Pueblo,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,High,Off-campus,0-None,,17242,11596,32838,Pending,No data,,No data,,No,,,,,,Unclear,,,generous_aid
Columbia College,Midwest (Great Plains),,City: Midsize,Coeducational,No,Professional,Very High,On-campus,2-Slightly,20000,24326,8670,36996,Merit,3,0.05,20802,16194,No,13000,CC Excellence Scholarship,"The ""CC Excellence Scholarship"" is not explicitly named. However, the university offers a range of merit-based scholarships to international students. Consideration is automatic upon admission. No separate application is needed.",,12670,Automatic consideration,,,affordable
Columbia University in the City of New York,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,10000,71845,17580,93425,Need,227,0.22,83347,5110,Yes (Need-aware),,,,,,,Early Decision only,,early_admission; generous_aid; affordable; global_top_200; ivy_league
Concordia College at Moorhead,Midwest (Great Plains),,Suburb: Midsize,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,,30020,10510,44530,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Connecticut College,Northeast (New England),New York City,City: Small,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,0-None,30000,67242,18558,89800,Both,120,0.99,59345,27352,Yes (Need-aware),34000,Founders Scholarship,The Founders Scholarship is a premier merit-based scholarship. Students are automatically considered when they apply for admission. No separate application is required.,33242,55800,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
The Cooper Union for the Advancement of Science and Art,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Professional,Very High,On-campus,0-None,45000,46820,19090,69910,Both,109,1,24616,44854,Yes (Need-blind),50% tuition,Half-tuition scholarship,All admitted undergraduate students receive a half-tuition scholarship. Financial aid is need-based to cover remaining costs. The award is automatic with admission.,23410,46500,Automatically Awarded,Early Decision only,,early_admission
Cornell College,Midwest (Great Plains),,Town: Fringe,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,30000,50634,11358,65992,Merit,25,1,36873,29119,No,,,,,TBD,Unclear,,,affordable
Cornell University,Northeast (Mid-Atlantic),,City: Small,Coeducational,No,Balanced,Majority,On-campus,0-None,10000,69314,19428,92742,Both,334,0.28,83060,5508,Yes (Need-aware),Demonstrated Need,Tata Scholarship,This is a need-based scholarship for undergraduate students from India. Applicants must apply for financial aid along with their admission application to be considered.,0,,Automatic consideration,Early Decision only,,early_admission; generous_aid; affordable; global_top_200; ivy_league
Cottey College,Midwest (Great Plains),,Town: Remote,Women's,No,Arts and Sciences,Exclusively,On-campus,0-None,15000,27562,11240,42802,Both,11,1,28560,10269,,,,,,,Unclear,,,affordable
Creighton University,Midwest (Great Plains),,City: Large,Coeducational,No,Professional,Majority,Off-campus,3-Somewhat,25000,48856,13652,66508,Merit,71,0.84,41874,21916,No,Full Tuition,"Scott Scholarship, Next Generation Leaders",Scott Scholarship: For business majors; requires US Citizenship. Next Generation Leaders: Full-tuition award for domestic and international students. Requires a separate application by January 10 after submitting the admission application.,0,17652,Requires application,Early Action Only,,early_admission; affordable
CUNY - Bernard M. Baruch College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Professional,High,Off-campus,0-None,,19131,21788,44919,Merit,No data,,No data,,No,,,,,TBD,Unclear,,,generous_aid
CUNY - Brooklyn College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Balanced,Very High,Off-campus,0-None,,19120,20000,43120,Pending,No data,,No data,,No,,,,,,Unclear,,,generous_aid
CUNY - City College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Arts and Sciences,High,Off-campus,0-None,,19010,17188,40198,,,,,,No,,,,,,,,,
CUNY - Hunter College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Arts and Sciences,High,Off-campus,0-None,,19050,17604,40654,Pending,No data,,No data,,No,,,,,,Unclear,,,generous_aid
CUNY - Lehman College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Balanced,Very High,Off-campus,0-None,,15840,17000,36840,Pending,No data,,No data,,No,,,,,,Unclear,,,generous_aid
CUNY - Queens College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,30000,19208,16464,39672,Merit,462,0.52,9143,26809,No,,,,,,Unclear,,,affordable
Dartmouth College,Northeast (New England),,Town: Remote,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,10000,68019,19749,91768,Need,418,0.69,81378,7142,Yes (Need-blind),,,,,,,Early Decision only,,early_admission; generous_aid; affordable; global_top_200; ivy_league
Davidson College,Southeast (Deep South),,Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,25000,64160,17100,85260,Both,118,0.64,58700,21750,Yes (Need-aware),Full ride+stipend,William Holt Terry Scholarship and Berk Scholarship,These are nomination-based scholarships. Students must be nominated by their Head of School or Counselor. They cannot self-apply. Finalists are chosen from the nominee pool.,0,-1000,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
Delta State University,Southeast (Deep South),,Town: Remote,Coeducational,No,Professional,High,On-campus,0-None,,8605,8731,21336,Merit,64,0.72,8914,,No,,,,,,Unclear,,,
Denison University,Midwest (Great Lakes),,Suburb: Small,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,40000,67000,16400,87400,Both,393,0.96,45198,38202,Yes (Need-aware),Full Tuition,Not specified,"All applicants, including international students, are automatically considered for merit-based scholarships ranging up to full tuition. No separate application is required. Awards are announced at the time of admission.",0,20400,Automatic consideration,Early Decision only,Yes,early_admission
DePaul University,Midwest (Great Lakes),"Chicago, IL",City: Large,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,50000,45999,19095,69094,Merit,328,0.63,18286,48642,No,25000,DePaul Freshman Scholarship,All first-year applicants are automatically considered for Merit Scholarships based on academic achievement in their admission application.,20999,44094,Automatic consideration,Early Action Only,,early_admission
DePauw University,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,40000,59070,15330,78400,Both,404,0.98,39437,36483,No,Full Tuition,Rector Scholarship,The Rector Scholarship is DePauw's oldest and most prestigious merit award. All applicants are automatically considered with their admission application. No separate application is needed.,0,19330,Requires application,Both,Yes,early_admission
DeSales University,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,46800,13800,64600,Merit,,,,,No,Full Tuition,Leadership Scholarship,"This is a competitive, full-tuition scholarship. Requires a separate application, essay, and resume by December 1.",0,17800,Requires application,,,
Dickinson College,Northeast (Mid-Atlantic),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,35000,65650,17100,86750,Both,279,0.98,52697,31253,Yes (Need-aware),45000,Presidential Scholarship,A merit-based scholarship awarded to a select group of the most outstanding applicants. Consideration is automatic with the admission application. No separate scholarship application is required.,20650,41750,Requires application,Early Decision only,Yes,early_admission; generous_aid
Drake University,Midwest (Great Plains),,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,2-Slightly,40000,52130,12452,68582,Both,101,0.98,26455,39347,No,34000,Presidential Scholarships,"All full-time, first-year students admitted directly from high school automatically receive a Presidential Scholarship based on academic achievement. No separate application is needed.",18130,34582,Automatic consideration,Early Action Only,,early_admission
Drew University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Arts and Sciences,High,On-campus,2-Slightly,,47100,17640,68740,Both,No data, No data ,No data,,No,30000,Francis Asbury Scholarship,This scholarship is for students admitted to the Baldwin Honors Program. Consideration for the program (and associated scholarship) is automatic for all applicants who apply by the priority deadline.,17100,38740,Automatic consideration,Both,,early_admission; generous_aid
