Common App Member,School Type,Deadline ED,Deadline EDII,Deadline EA,Deadline EAII,Deadline REA,Deadline RD/ Rolling,App Fee - US Citizen (USD),App Fee - INTL (USD),Personal Essay Required?,Courses & Grades,Supplements - Portfolio?,Supplements - Writing,Test Policy,SAT/ACT Tests Used,INTL,Recommendation - Teacher Evaluations Number required,Recommendation - Other Evaluations Number required,Mid Year Report required,Counselor Recommendation required,Saves Forms
University of Maine at Fort Kent,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
University of Maine at Presque Isle,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
University of Mary Hardin-Baylor,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,,
University of Mary Washington,Coed,11/1/2025,,11/15/2025,,,2/1/2026,$50,$50,Yes,,,,S,See Website,See Website,,,,,
University of Maryland,Coed,,,11/1/2025,,,1/20/2026,$80,$80,Yes,,,,F,SAT without essay or ACT with science,See Website,1,,,Y,Y
University of Maryland Eastern Shore,Coed,,,,,,Rolling,$35,$35,,,,,S,None,See Website,,,,,
University of Massachusetts Amherst,Coed,,,11/5/2025,,,1/15/2026,$90,$90,Yes,,SR,,N,None,I or T,,,Y,Y,Y
University of Massachusetts Boston,Coed,,,11/1/2025,1/1/2026,,7/1/2026,$60,$60,Yes,,,,S,See Website,D or I or T,,,,Y,Y
University of Massachusetts Dartmouth,Coed,,,11/15/2025,,,Rolling,$60,$60,,,,,F,SAT without essay or ACT without science or writing,See Website,,,,,Y
University of Massachusetts Lowell,Coed,,,11/5/2025,1/15/2026,,2/15/2026,$70,$70,Yes,,SR,,S,See Website,See Website,1,,Y,,Y
University of Miami,Coed,11/1/2025,1/5/2026,11/1/2025,,,1/5/2026,$75,$75,Yes,,,,S,SAT without essay or ACT without science or writing,D or I or T,,,,Y,Y
University of Michigan,Coed,11/1/2025,,11/1/2025,,,2/1/2026,$75,$75,Yes,,SR,,F,See Website,See Website,1,,,,Y
University of Michigan- Dearborn,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,Y
University of Michigan- Flint,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
University of Minnesota Crookston,Coed,,,,,,Rolling,$30,$30,,,,,N,None,C or D or I or T or P,,,,,Y
University of Minnesota Duluth,Coed,,,,,,Rolling,$40,$50,,,,,F,SAT without essay or ACT with science,C or D or I or T or P,,,,,Y
University of Minnesota Morris,Coed,,,11/1/2025,12/15/2025,,Rolling,$30,$30,,,,,S,See Website,D or I or T or P,,,,,Y
University of Minnesota Rochester,Coed,,,,,,Rolling,$30,$30,,,,,N,None,See Website,,,,,Y
University of Minnesota Twin Cities,Coed,,,11/1/2025,12/1/2025,,1/1/2026,$55,$55,,Yes,,,N,None,C or D or I or T or P,,,,,Y
University of Missouri,Coed,,,,,,Rolling,$55,$65,Yes,,,,S,See Website,See Website,,,,,Y
University of Missouri- Kansas City,Coed,,,,,,Rolling,$0,$75,,Yes,,,S,See Website,See Website,,,,,Y
University of Missouri-St Louis,Coed,,,,,,Rolling,$0,$40,,,,,F,SAT without essay or ACT without science or writing,See Website,,,,,Y
University of Montana,Coed,,,,,,Rolling,$30,$30,,,,,F,None,D or I or T or P,,,,,
University of Mount Saint Vincent,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
University of Mount Union,Coed,,,,,,Rolling,$0,$0,Yes,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
University of Nebraska- Lincoln,Coed,,,,,,Rolling,$45,$45,,,,,S,See Website,See Website,,,,,
"University of Nevada, Las Vegas (UNLV)",Coed,,,,,,Rolling,$60,$95,,,,,F,See Website,See Website,,,,,
University of Nevada- Reno,Coed,,,,,,4/7/2026,$0,$95,,,,,N,None,See Website,,,,,
University of New England,Coed,,,11/15/2025,,,7/26/2026,$0,$0,Yes,,,,N,None,See Website,,,Y,Y,
University of New Hampshire,Coed,,,11/15/2025,,,2/1/2026,$50,$65,Yes,,,,N,None,D or I or T,,,Y,Y,Y
University of New Haven,Coed,12/1/2025,,12/15/2025,2/15/2026,,7/28/2026,$50,$50,Yes,,,,S,See Website,See Website,,,,,
University of New Mexico,Coed,,,,,,6/1/2026,$25,$50,,Yes,,,F,None,See Website,,,,,
University of New Orleans,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT with science,See Website,,,,,
University of North Carolina Asheville,Coed,,,11/1/2025,,,2/1/2026,$75,$75,,,,,S,See Website,D or I or T or P,,,,,Y
University of North Carolina at Chapel Hill,Coed,,,10/15/2025,,,1/15/2026,$85,$85,Yes,,,,S,See Website,See Website,1,,Y,,Y
University of North Carolina at Charlotte,Coed,,,11/1/2025,,,2/1/2026,$75,$80,Yes,,,,S,See Website,See Website,,,,,
University of North Carolina at Pembroke,Coed,,,,,,5/1/2026,$45,$45,,,,,S,See Website,D or I or T,,,,,
University of North Carolina Greensboro,Coed,,,11/1/2025,,,3/1/2026,$65,$65,,,,,S,See Website,See Website,,,,,Y
University of North Carolina Wilmington,Coed,,,11/1/2025,,,2/1/2026,$80,$80,Yes,,,,S,See Website,C or D or I or T or P,,,,,
University of North Dakota,Coed,,,,,,Rolling,$35,$35,,,,,N,See Website,D or I or T or P,,,,,Y
University of North Florida,Coed,,,,,,Rolling,$30,$30,,,,,A,See Website,See Website,,,,,
University of North Georgia,Coed,,,11/15/2025,,,3/1/2026,$40,$40,,,,,A,See Website,See Website,,,,,
University of North Texas,Coed,,,,,,Rolling,$75,$85,,,,,N,See Website,See Website,,,,,Y
University of North Texas at Dallas,Coed,,,,,,Rolling,$0,$0,,,,,F,SAT with essay or ACT with science and writing,See Website,,,,,
University of Northern Colorado,Coed,,,12/1/2025,,,3/1/2026,$50,$50,,,,,F,None,See Website,,,,,Y
University of Northern Iowa,Coed,,,,,,Rolling,$40,$50,,,,,N,None,D or I or T,,,,,Y
University of Northwestern-St. Paul,Coed,,,,,,7/30/2026,$0,$0,,,,,S,See Website,I or T or P,,,,,Y
University of Notre Dame,Coed,,,,,11/1/2025,1/2/2026,$85,$85,Yes,,SR,,N,See Website,See Website,1,,Y,Y,Y
University of Oregon,Coed,,,11/1/2025,,,1/15/2026,$65,$75,Yes,Yes,SR,,N,See Website,See Website,,,,,Y
University of Pennsylvania,Coed,11/1/2025,,,,,1/5/2026,$75,$75,Yes,,,,A,SAT without essay or ACT without science or writing,D or I or T,1,,Y,Y,Y
University of Pittsburgh,Coed,,,,,,Rolling,$55,$55,,,,,S,See Website,See Website,,,,,
University of Plymouth,Coed,,,,,,Rolling,$0,$0,Yes,,,Yes,I,None,See Website,1,,,,
University of Portland,Coed,,,12/5/2025,,,3/8/2026,$0,$0,,,,,N,None,See Website,,,,,
University of Puget Sound,Coed,11/1/2025,,11/1/2025,,,1/15/2026,$65,$65,Yes,,,,S,SAT with essay or ACT with science,See Website,1,,Y,Y,
University of Redlands,Coed,,,11/1/2025,12/1/2025,,1/15/2026,$0,$0,Yes,,,,S,See Website,D or I or T,1,,Y,,Y
University of Rhode Island,Coed,11/1/2025,,12/1/2025,,,4/15/2026,$65,$65,Yes,,,,N,See Website,D or I or T,,,,Y,Y
University of Richmond,Coed,11/1/2025,1/1/2026,11/1/2025,,,1/1/2026,$50,$50,Yes,,,Yes,S,See Website,See Website,,,Y,Y,Y
University of Rochester,Coed,11/1/2025,1/5/2026,,,,1/5/2026,$50,$50,Yes,,,,N,See Website,D or I or T,1,,Y,Y,Y
"University of Roehampton, London",Coed,,,,,,Rolling,$35,$35,Yes,Yes,,,S,None,See Website,1,,,Y,Y
University of Saint Francis-Fort Wayne Indiana,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,,Y
University of Saint Joseph,Coed,10/15/2025,,12/15/2025,,,7/28/2026,$0,$0,Yes,,,,N,None,See Website,,,,Y,Y
University of San Diego,Coed,11/1/2025,,11/1/2025,,,1/15/2026,$70,$70,Yes,,,,I,None,See Website,,,Y,Y,Y
University of San Francisco,Coed,11/1/2025,1/15/2026,11/5/2025,,,1/15/2026,$70,$70,Yes,,,,N,None,See Website,,,Y,,Y
University of Science and Arts of Oklahoma,Coed,,,,,,7/1/2026,$0,$0,Yes,,,,S,None,I or T,,,,,
University of Sioux Falls,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
University of South Carolina Aiken,Coed,,,,,,7/15/2026,$45,$45,,,,,N,None,See Website,,,,,
University of South Carolina Columbia,Coed,,,10/15/2025,,,12/1/2025,$65,$100,Yes,,,,S,See Website,See Website,,,,,Y
University of South Carolina Upstate,Coed,,,,,,Rolling,$45,$100,,,,,F,SAT without essay or ACT with science and writing,C or D or I or T or P,,,,,
University of South Dakota,Coed,,,,,,Rolling,$21,$21,,,,,S,None,See Website,,,,,
University of South Florida,Coed,,,,,,Rolling,$30,$30,,,,,A,See Website,See Website,,,,,
University of Southern California,Coed,11/1/2025,,11/1/2025,,,1/10/2026,$85,$85,Yes,Yes,SR,,N,None,See Website,,,Y,Y,
University of Southern Indiana,Coed,,,,,,Rolling,$40,$40,,,,,F,See Website,See Website,,,,,Y
University of Southern Maine,Coed,,,12/1/2025,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
University of Southern Mississippi,Coed,,,,,,Rolling,$45,$45,,,,,S,SAT without essay or ACT without science or writing,C or I or T or P,,,Y,,
University of St Andrews,Coed,,,,,,Rolling,$75,$75,,,,,F,See Website,See Website,1,,Y,Y,Y
University of St. Francis (IL),Coed,,,,,,Rolling,$0,$50,,,,,S,See Website,See Website,,,,,
University of St. Thomas (MN),Coed,,,11/1/2025,,,1/15/2026,$0,$0,,,,,N,See Website,See Website,,,,,
"University of St. Thomas
- Houston",Coed,,,,,,7/29/2026,$0,$0,Yes,,,,F,See Website,See Website,,,,,
University of Stirling,Coed,,,,,,Rolling,$30,$30,Yes,,,Yes,S,See Website,See Website,1,,,Y,Y
University of Tampa,Coed,11/1/2025,,11/15/2025,,,1/15/2026,$40,$40,Yes,,,,N,None,See Website,,,,,Y
University of Texas Permian Basin,Coed,,,,,,Rolling,$40,$40,,,,,F,SAT with essay or ACT with science and writing,D or I or T,,,,,
University of the District of Columbia,Coed,,,,,,7/28/2026,$0,$0,,,,,N,None,D or I or T,,,,,
University of the Highlands and Islands,Coed,,,,,,6/1/2026,$30,$30,,,,,F,See Website,See Website,1,,,,
University of the Incarnate Word,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
University of the Pacific,Coed,,,11/15/2025,,,1/15/2026,$55,$55,Yes,,,,N,None,See Website,,,,,Y
"University of the West of England (UWE), Bristol",Coed,,,,,,Rolling,$0,$0,,Yes,,,S,See Website,See Website,,,Y,,Y
University of Vermont,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$55,$55,Yes,,,,N,See Website,See Website,,,Y,Y,Y
University of Virginia,Coed,11/1/2025,,11/1/2025,,,1/5/2026,$75,$75,Yes,,SR,,N,None,See Website,1,,Y,,
University of Washington,Coed,,,,,,11/15/2025,$80,$90,,Yes,,,S,See Website,See Website,,,,,
University of Washington Bothell,Coed,,,11/15/2025,,,1/15/2026,$60,$75,Yes,Yes,,,N,None,See Website,,,,,
University of Washington Tacoma,Coed,,,11/15/2025,,,5/31/2026,$60,$75,Yes,Yes,,,N,None,See Website,,,,,
"University of Wisconsin
- Parkside",Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
"University of Wisconsin
- River Falls",Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
University of Wisconsin- Eau Claire,Coed,,,,,,Rolling,$25,$25,,,,,N,See Website,See Website,,,,,Y
University of Wisconsin- Madison,Coed,,,11/1/2025,,,1/15/2026,$80,$80,Yes,Yes,,,N,See Website,D or I or T,1,,,,Y
University of Wisconsin- Milwaukee,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
University of Wisconsin- Stevens Point,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,Y
University of Wisconsin- Stout,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,See Website,See Website,,,,,Y
University of Wisconsin- Whitewater,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
University of Worcester (UK),Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,C or I,,1,,Y,Y
University of Wyoming,Coed,,,,,,Rolling,$40,$40,,,,,S,See Website,See Website,,,,,
Upper Iowa University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Ursinus College,Coed,12/1/2025,2/1/2026,11/10/2025,,,4/1/2026,$0,$0,Yes,,,,S,See Website,See Website,,,Y,Y,Y
Ursuline College,Women,,,,,,Rolling,$0,$0,Yes,,,,N,See Website,D or I or T,,,,,Y
Utah State University,Coed,,,12/2/2025,,,7/29/2026,$50,$50,,,,,F,See Website,See Website,,,,,
Utah Tech University,Coed,,,,,,Rolling,$35,$75,,,,,F,See Website,D or I or T,,,Y,,
Utica University,Coed,11/1/2025,,11/15/2025,12/15/2025,,Rolling,$40,$40,Yes,,,,N,None,D or I or T,,,Y,Y,
Valdosta State University,Coed,,,,,,Rolling,$0,$40,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Valparaiso University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
Vanderbilt University,Coed,11/1/2025,1/1/2026,,,,1/1/2026,$50,$50,Yes,,,,N,See Website,See Website,2,,Y,Y,
Vassar College,Coed,11/15/2025,1/7/2026,,,,1/7/2026,$65,$65,Yes,,SR,,N,See Website,D or I or T,1,,Y,Y,
Vaughn College of Aeronautics and Technology,Coed,,,,,,Rolling,$40,$40,,,,,F,None,I or T,,,,,
Vermont State University,Coed,,,,,,Rolling,$45,$45,,,,,N,See Website,See Website,,,,,
Villa Maria College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Villanova University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$80,$80,Yes,,,,N,None,C or D or I or T or P,1,,Y,,Y
Vincennes University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Virginia Commonwealth University,Coed,,,,,,Rolling,$75,$75,,,,,S,See Website,D or I or T or P,,,,,Y
Virginia Military Institute,Coed,11/15/2025,,,,,2/1/2026,$0,$0,,,,,N,None,I or T,,,,Y,
Virginia State University,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,Y,,
Virginia Tech,Coed,,,11/1/2025,,,1/15/2026,$60,$70,,,,,N,None,D or I or T,,,,,Y
Virginia Wesleyan University,Coed,,,,,,Rolling,$0,$50,,,,,N,None,See Website,,,,,Y
Viterbo University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Wabash College,Men,11/15/2025,,12/1/2025,,,1/15/2026,$0,$0,,,,,N,None,See Website,,,,Y,Y
Wagner College,Coed,,,11/15/2025,,,2/15/2026,$60,$60,,,,,S,See Website,I or T,1,,,Y,Y
Wake Forest University,Coed,11/15/2025,1/1/2026,11/15/2025,,,1/1/2026,$85,$85,Yes,,,,N,See Website,D or I or T,1,,,,
Wake Technical Community College,Coed,,,,,,7/26/2026,$0,$0,,,,,N,None,T,,,,,
Walsh University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Warner Pacific University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Warren Wilson College,Coed,11/1/2025,,11/15/2025,,,2/15/2026,$0,$0,Yes,,,,N,None,See Website,,,,Y,Y
Wartburg College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
Washington & Jefferson College,Coed,12/15/2025,,,,,4/1/2026,$0,$0,,,,,N,None,C or D or I or T or P,,,,,Y
Washington Adventist University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Washington and Lee University,Coed,11/1/2025,1/1/2026,,,,1/1/2026,$60,$60,Yes,,COL,,N,See Website,See Website,2,,Y,Y,Y
Washington College,Coed,11/15/2025,,12/1/2025,,,2/15/2026,$0,$0,Yes,,,,S,See Website,D or I or T or P,1,,Y,Y,
Washington State University,Coed,,,,,,Rolling,$70,$70,,,,,I,None,See Website,,,,,
Washington University in St. Louis,Coed,11/3/2025,1/2/2026,,,,1/2/2026,$75,$75,Yes,,SR,Yes,N,SAT without essay or ACT without science or writing,See Website,1,,Y,Y,Y
Wayne State University,Coed,,,,,,Rolling,$25,$25,,,,,F,SAT without essay or ACT without science or writing,See Website,,,,,Y
Waynesburg University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Webb Institute,Coed,10/16/2025,,,,,1/16/2026,$70,$70,Yes,,,,A,See Website,T,2,,Y,Y,
Webber International University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
Webster University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,C or D or I or T or P,,,,,Y
Wellesley College,Women,11/1/2025,1/5/2026,,,,1/8/2026,$0,$0,Yes,,,Yes,N,See Website,See Website,2,,Y,,
Wentworth Institute of Technology,Coed,,,11/15/2025,1/1/2026,,2/15/2026,$50,$50,Yes,,,,N,None,See Website,,,,,Y
Wesleyan College,Women,,,,,,Rolling,$0,$30,,,,,N,None,C or D or I or T,,,,,
Wesleyan University,Coed,11/15/2025,1/1/2026,,,,1/1/2026,$65,$65,Yes,,SR,,N,None,I or T,2,,Y,Y,Y
West Chester University of Pennsylvania,Coed,,,,,,Rolling,$45,$45,,,,Yes,N,None,See Website,,,,,Y
West Texas A&M University,Coed,,,,,,Rolling,$10,$100,,,,,S,See Website,C or D or I or T or P,,,,,Y
West Virginia State University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,T,,,,,
West Virginia University,Coed,,,,,,Rolling,$65,$75,,,,,S,See Website,See Website,,,,,Y
West Virginia Wesleyan College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Western Carolina University,Coed,,,11/1/2025,,,2/1/2026,$65,$65,,,,,S,See Website,See Website,,,,,
Western Colorado University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
Western Connecticut State University,Coed,,,,,,Rolling,$50,$50,Yes,,,,N,See Website,See Website,,,,,Y
Western Illinois University,Coed,,,,,,Rolling,$30,$50,,,,,N,None,I or T,,,,,Y
Western Kentucky University,Coed,,,,,,Rolling,$50,$75,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Western Michigan University,Coed,,,12/15/2025,,,Rolling,$40,$100,,,,,N,None,See Website,,,,,Y
Western New England University,Coed,,,11/15/2025,2/15/2026,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Western Oregon University,Coed,,,,,,Rolling,$0,$0,,,,,I,None,See Website,,,,,Y
Western Washington University,Coed,,,11/1/2025,,,1/31/2026,$70,$70,,,,,N,See Website,See Website,,,,,
Westfield State University,Coed,,,11/15/2025,,,3/1/2026,$0,$50,,,,,S,See Website,See Website,,,,,
Westlake University,Coed,,,11/1/2025,1/1/2026,,4/1/2026,$75,$75,Yes,,,,F,None,See Website,1,,Y,Y,Y
Westminster College (Missouri),Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,
Westminster College (Pennsylvania),Coed,12/15/2025,,12/15/2025,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Westminster University (Utah),Coed,,,12/1/2025,,,2/2/2026,$0,$0,,,,,N,None,See Website,,,,,
Westmont College,Coed,,,10/15/2025,11/1/2025,,1/15/2026,$0,$0,,,,,N,See Website,I or T,1,,Y,,Y
Wheaton College (IL),Coed,,,10/15/2025,11/15/2025,,2/15/2026,$0,$0,,,,,S,See Website,D or I or T,1,,,,Y
"Wheaton College, Massachusetts",Coed,11/15/2025,1/15/2026,11/15/2025,1/15/2026,,2/15/2026,$0,$0,Yes,,SR,,N,None,C or D or I or T or P,1,,Y,,Y
Wheeling University,Coed,,,,,,Rolling,$0,$0,,,,Yes,N,None,D or I or T,,,,,Y
Whitman College,Coed,11/15/2025,1/10/2026,,,,1/15/2026,$60,$60,Yes,,,,N,See Website,D or I or T,,,Y,,Y
Whittier College,Coed,,,11/15/2025,,,Rolling,$0,$0,Yes,,,,N,None,C or D or I or T or P,1,,,Y,Y
Whitworth University,Coed,,,11/15/2025,1/15/2026,,3/1/2026,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Wichita State University,Coed,,,,,,Rolling,$40,$75,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Widener University,Coed,,,11/2/2025,,,7/28/2026,$0,$0,Yes,,,,N,None,See Website,,,,,Y
Wilberforce University,Coed,,,,,,Rolling,$25,$50,,,,,F,SAT without essay or ACT without science or writing,I or T,,,,,
Wiley University,Coed,,,,,,Rolling,$0,$0,,,,,I,None,See Website,,,,Y,
Wilkes Honors College of FAU,Coed,,,10/15/2025,,,Rolling,$30,$30,,,,,A,See Website,See Website,,,,,
Wilkes University,Coed,,,11/29/2025,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Willamette University,Coed,11/1/2025,,11/1/2025,,,4/15/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,Y,Y
William & Mary,Coed,11/1/2025,1/5/2026,,,,1/5/2026,$75,$75,Yes,,SR,,N,See Website,D or I or T,,,Y,Y,
William Jewell College,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,I or T,,,,,Y
William Paterson University of NJ,Coed,,,12/1/2025,,,Rolling,$50,$50,,,,,N,None,See Website,,,,,
William Peace University,Coed,,,,,,Rolling,$50,$50,,,,,N,None,See Website,,,,,
William Rainey Harper College,Coed,,,,,,Rolling,$25,$25,,,,,S,See Website,See Website,,,,,
William Woods University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,Y,,Y
Williams College,Coed,11/15/2025,,,,,1/5/2026,$65,$65,Yes,,SR,Yes,N,None,See Website,2,,Y,Y,Y
Wilmington College,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Wilson College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,D or I or T,,,,,Y
Wingate University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Winston-Salem State University,Coed,,,,,,6/28/2026,$50,$50,,,,,S,SAT without essay or ACT without science or writing,I or T,,,,,
Winthrop University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Wisconsin Lutheran College,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,I or T,,,,,Y
Wittenberg University,Coed,11/1/2025,,12/1/2025,,,Rolling,$0,$0,,,,,F,See Website,D or I or T or P,,,,,Y
Wofford College,Coed,11/1/2025,1/15/2026,11/15/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Woodbury University,Coed,,,11/1/2025,12/1/2025,,1/15/2026,$0,$0,,,,,N,None,See Website,,,,,
Worcester Polytechnic Institute,Coed,11/1/2025,1/5/2026,11/1/2025,1/5/2026,,2/1/2026,$70,$70,Yes,,,,N,See Website,See Website,1,,Y,Y,Y
Worcester State University,Coed,,,11/15/2025,,,3/1/2026,$50,$50,,,,,N,None,I or T or P,,,Y,,
Wright State University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Xavier University,Coed,,,11/1/2025,,,2/1/2026,$0,$0,Yes,,,,N,See Website,D or I or T or P,,,,Y,Y
Xavier University of Louisiana,Coed,,,,,,Rolling,$0,$0,,Yes,,,S,See Website,I or T,,,,Y,Y
Yale University,Coed,,,,,11/1/2025,1/2/2026,$80,$80,Yes,,,,F,See Website,See Website,2,,Y,Y,Y
York College of Pennsylvania,Coed,11/1/2025,,,,,Rolling,$0,$0,,,,Yes,N,SAT without essay or ACT without science or writing,D or I or T or P,,,,,Y
York County Community College,Coed,,,1/1/2026,,,Rolling,$0,$0,,,,,S,See Website,D or T,,,,,
Youngstown State University,Coordinate,,,,,,Rolling,$45,$75,,,,,F,See Website,See Website,,,,,
Zane State College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Zaytuna College,Coed,,,10/31/2025,,,1/31/2026,$50,$50,,,,,N,See Website,See Website,3,,Y,,Y
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
